0,2568,0,3935,4095,4095,3628,4095,4095,0,3069,0,3941,4095,4095,4095,4095,4095,0,3024,369,0,3251,0,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,0,3767,0,21,4095,92,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,4059,0,4095,4095,4095
0,4095,40,0,3648,0,3203,4095,4095,4095,4095,4095,2191,4095,2286,0,3037,0,2449,4095,4095,4095,4095,4095,0,3540,0,0,3384,0
3240,4095,4095,4095,4095,4095,0,4095,52,0,3614,0,30,4095,1030,4095,4095,4095,4095,4095,4095,0,4095,0,0,4095,0,4095,4095,4095
3223,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,4095,0,0,3112,20,0,3657,0,4095,4095,4095,4095,4095,4095,1854,4095,1723
4095,4095,4095,0,4095,0,0,4095,0,4095,4095,4095,4014,4095,4095,0,4095,0,0,3696,0,4055,4095,4095,4095,4095,4095,4095,4095,4095
0,3576,335,4095,4095,4095,3791,4095,4095,0,3801,0,2344,4095,4095,4095,4095,4095,0,3120,0,3599,4095,4095,4095,4095,4095,0,3639,0
3848,4095,4095,3701,4095,4095,4095,4095,4095,3,3903,193,3514,4095,4095,4095,4095,4095,4095,4095,4095,0,4095,24,0,4095,0,2759,4095,3324
4095,4095,4095,0,4095,0,0,4095,0,4095,4095,4095,4014,4095,4095,0,4095,0,0,3696,0,4055,4095,4095,4095,4095,4095,4095,4095,4095
3190,4095,4095,4095,4095,4095,4095,4095,4095,0,4071,0,0,3087,0,787,4095,824,0,3540,0,4095,4095,4095,2268,4095,2477,0,3257,0
9,4095,549,4095,4095,4095,4095,4095,4095,0,4095,60,0,3298,0,16,4095,535,4095,4095,4095,3907,4095,4095,0,3735,0,3214,4095,4095
0,4095,0,3,4095,842,4095,4095,4095,0,4016,14,2680,4095,3421,4095,4095,4095,0,4095,0,3019,4095,4095,55,4095,2840,3756,4095,4095
0,3463,0,983,4095,3087,4095,4095,4095,4095,4095,4095,0,3703,0,0,3271,0,633,4095,3241,4095,4095,4095,388,4095,366,0,3436,0
0,3576,335,4095,4095,4095,3791,4095,4095,0,3801,0,2344,4095,4095,4095,4095,4095,0,3120,0,3599,4095,4095,4095,4095,4095,0,3639,0
0,4095,0,3,4095,842,4095,4095,4095,0,4016,14,2680,4095,3421,4095,4095,4095,0,4095,0,3019,4095,4095,55,4095,2840,3756,4095,4095
3249,4095,4095,4095,4095,4095,4095,4095,4095,0,3520,0,0,3504,0,4095,4095,4095,4095,4095,4095,0,4095,0,0,3591,0,3135,4095,4095
4095,4095,4095,4095,4095,4095,0,3639,0,3608,4095,4095,4095,4095,4095,0,4095,0,2396,4095,4095,4093,4095,4095,0,4095,0,4095,4095,4095
0,3664,17,0,3932,0,4095,4095,4095,4095,4095,4095,0,4095,0,12,4095,2643,4095,4095,4095,0,4062,91,3601,4095,4095,4095,4095,4095
0,3463,0,983,4095,3087,4095,4095,4095,4095,4095,4095,0,3703,0,0,3271,0,633,4095,3241,4095,4095,4095,388,4095,366,0,3436,0
0,3316,0,1368,4095,2941,4095,4095,4095,0,3911,0,1,4095,43,4095,4095,4095,0,4095,0,0,4095,0,1939,4095,2935,4095,4095,4095
1359,4095,4095,4095,4095,4095,4095,4095,4095,0,3100,0,8,4095,1181,4068,4095,4095,4095,4095,4095,0,3144,0,0,4095,0,13,4095,451
0,4075,0,4095,4095,4095,4095,4095,4095,0,3742,0,2315,4095,4095,4095,4095,4095,0,4095,0,0,4095,0,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,0,3237,0,4032,4095,4095,4095,4095,4095,4054,4095,4095,3799,4095,4095,1885,4095,4095,4039,4095,4095,0,2995,0
3928,4095,4095,4095,4095,4095,3215,4095,4095,3226,4095,4095,1952,4095,4095,3020,4095,4095,2649,4095,4095,2669,4095,4095,2144,4095,4095,0,4095,0
4095,4095,4095,4095,4095,4095,0,3237,0,4032,4095,4095,4095,4095,4095,4054,4095,4095,3799,4095,4095,1885,4095,4095,4039,4095,4095,0,2995,0
0,3576,335,4095,4095,4095,3791,4095,4095,0,3801,0,2344,4095,4095,4095,4095,4095,0,3120,0,3599,4095,4095,4095,4095,4095,0,3639,0
0,3192,0,0,3221,0,1952,4095,4095,4095,4095,4095,0,3295,0,0,3800,0,4060,4095,4095,4095,4095,4095,4095,4095,4095,0,3399,0
0,3525,0,0,3468,0,3863,4095,4095,4095,4095,4095,0,3217,0,3,4095,3286,1179,4095,4044,1710,4095,4095,1839,4095,3996,2063,4095,4095
